Player,Earnings
s1mple,"$1,088,000"
ZywOo,"$436,590"
sh1ro,"$423,301"
blameF,"$191,450"
NiKo,"$328,050"
device,"$663,400"
Jame,"$338,711"
El1an,"$83,119"
ropz,"$270,188"
mir,"$111,060"
EliGE,"$629,250"
KSCERATO,"$232,844"
Ax1Le,"$423,121"
xsepower,"$96,511"
electroNic,"$936,100"
huNter-,"$291,984"
NAF,"$629,250"
oSee,"$85,840"
yuurih,"$233,594"
HObbit,"$388,883"
Brehze,"$269,340"
syrsoN,"$208,827"
frozen,"$275,457"
XANTARES,"$188,464"
lollipop21k,"$28,619"
mantuu,"$155,307"
oskar,"$45,309"
FL1T,"$143,408"
roeJ,"$204,807"
YEKINDAR,"$248,295"
ZOREE,"$98,135"
k0nfig,"$193,261"
dycha,"$86,585"
Magisk,"$641,950"
rallen,"$52,087"
poizon,"$279,890"
stavn,"$233,103"
Brollan,"$221,625"
Ethan,"$255,400"
Twistzz,"$596,450"
valde,"$171,100"
faveN,"$84,966"
tabseN,Not Found
FREDDyFROG,"$15,757"
iDISBALANCE,"$63,085"
acoR,"$222,705"
kennyS,"$192,418"
jks,"$133,900"
dupreeh,"$641,950"
f0rest,"$87,895"
CeRq,"$270,470"
sdy,"$125,421"
slaxz-,"$57,696"
dennyslaw,"$54,567"
kNgV-,"$129,601"
Rainwaker,"$56,128"
TeSeS,"$218,435"
nawwk,"$65,298"
zehN,"$68,290"
coldzera,"$146,820"
Maka,"$29,340"
Maden,"$68,258"
KRIMZ,"$217,038"
snatchie,"$78,086"
Forester,"$89,755"
Qikert,"$338,711"
sjuush,"$297,950"
CRUC1AL,"$60,447"
nexa,"$288,084"
STYKO,"$67,613"
cadiaN,"$236,700"
MarKE,"$83,540"
SHiPZ,"$186,300"
broky,"$152,636"
FalleN,"$232,016"
REZ,"$172,279"
n0rb3r7,"$47,789"
buster,"$336,011"
Sonic_(South African_player),"$71,050"
Xyp9x,"$625,730"
Thomas,"$38,458"
Plopski,"$150,237"
Krad,"$87,173"
sLowi,"$97,280"
arT,"$233,674"
es3tag,"$101,840"
shox,"$385,533"
niko_(Danish_player),"$140,790"
ALEX_(Spanish_player),"$35,906"
hampus,"$112,820"
Lucky_(French_player),"$83,614"
Jerry,"$141,080"
rain,"$215,720"
Lekr0,"$103,104"
Aerial,"$180,937"
Jyo,"$32,572"
Snax,"$53,602"
innocent,"$42,541"
Relaxa,"$10,586"
Stewie2K,"$630,250"
almazer,"$125,408"
magixx,"$114,252"
JW,"$186,760"
nafany,"$423,121"
NickelBack,"$89,390"
xseveN,"$173,214"
RuStY,"$29,979"
mopoz,"$35,906"
gla1ve,"$646,750"
NBK-,"$218,324"
AMANEK,"$306,481"
facecrack,"$94,331"
tarik,"$251,640"
Lack1,"$81,581"
Perfecto,"$992,816"
apEX,"$436,810"
Boombl4,"$1,011,050"
twist,"$111,289"
b0RUP,"$145,070"
doto,"$99,906"
Aleksib,"$247,468"
k1to,"$206,547"
VINI,"$232,684"
Surreal,"$62,239"
JACKZ,"$309,876"
ALEX_(British_player),"$223,470"
boX,"$31,252"
Furlan,Not Found
gade,"$76,687"
chopper,"$111,825"
SZPERO,"$70,755"
Keoz,"$32,934"
RpK,"$329,310"
mds,"$26,654"
Spiidi,"$84,884"
Snappi,"$83,475"
denis,"$74,183"
chrisJ,"$250,068"
interz,"$423,121"
Steel_(Lucas_Lopes),"$29,644"
stanislaw,"$231,900"
Duplicate,"$50,052"
neaLaN,"$46,745"
SPELLAN,"$30,726"
tiziaN,"$194,215"
bubble,"$154,200"
RUSH,"$177,990"
TACO,"$176,704"
JT_(South_African_player),"$79,150"
SANJI,"$314,186"
MiGHTYMAX,"$52,062"
friberg,"$38,500"
karrigan,"$282,908"
AdreN_(Kazakh_player),"$144,461"
